CEC Modules,T_noct,A_c,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,Alpha_sc,Beta_oc,A_ref,I_l_ref,I_o_ref,R_s,R_sh_ref,Adjust,Gamma_r,Source
Centrosolar America BP6235BB,48.7,1.577,60,8.5,37.1,8,29.4,0.007225,-0.13171,1.5949,8.502,6.702e-010,0.392,1945.52,8.1,-0.461,Multi-c-Si
Centrosolar America BP6-235BW,47.9,1.577,60,8.5,37.1,8,29.4,0.0068,-0.12577,1.5532,8.503,3.58e-010,0.402,1089.41,7.87,-0.441,Multi-c-Si
Centrosolar America BP6235SW,47.9,1.577,60,8.5,37.1,8,29.4,0.0068,-0.12577,1.554,8.503,3.625e-010,0.402,1097.71,7.8,-0.441,Multi-c-Si
Centrosolar America E235,45.6,1.569,60,8.3,36.5,7.99,29.4,0.005395,-0.1241,1.5261,8.469,3.463e-010,0.331,1311.16,7.471,-0.446,Multi-c-Si
Centrosolar America E235B,45.6,1.569,60,8.3,36.5,7.99,29.4,0.005395,-0.1241,1.5261,8.469,3.463e-010,0.331,1311.16,7.471,-0.446,Multi-c-Si
Centrosolar America E235BWZ,45.6,1.569,60,8.3,36.5,7.99,29.4,0.005395,-0.1241,1.5261,8.469,3.463e-010,0.331,1311.16,7.471,-0.446,Multi-c-Si
Centrosolar America E235SWZ,45.6,1.569,60,8.3,36.5,7.99,29.4,0.005395,-0.1241,1.5261,8.469,3.463e-010,0.331,1311.16,7.471,-0.446,Multi-c-Si
Centrosolar America EP6 235 BW,47.5,1.635,60,8.69,37.44,8.07,29.74,0.005697,-0.12504,1.6168,8.705,7.48e-010,0.378,212.7,16.24,-0.479,Multi-c-Si
Centrosolar America EP6 235 SW,47.5,1.635,60,8.69,37.44,8.07,29.74,0.005697,-0.12504,1.6168,8.705,7.48e-010,0.378,212.7,16.24,-0.479,Multi-c-Si
Centrosolar America K235,46.6,1.637,60,8.47,36.9,7.89,29.8,0.006251,-0.13007,1.6016,8.481,8.218e-010,0.31,237.37,10.9,-0.463,Multi-c-Si
Centrosolar America K235B,46.6,1.637,60,8.31,37.2,7.83,30,0.003684,-0.11298,1.5055,8.315,1.533e-010,0.352,597.94,13,-0.435,Mono-c-Si
Centrosolar America BP6-240BB,48.7,1.577,60,8.6,37.3,8.1,29.8,0.00731,-0.13242,1.6095,8.602,7.39e-010,0.354,1760.94,9.024,-0.461,Multi-c-Si
Centrosolar America BP6-240BW,47.9,1.577,60,8.6,37.3,8.1,29.8,0.00688,-0.12645,1.5684,8.603,4.02e-010,0.365,1046.52,8.778,-0.441,Multi-c-Si
Centrosolar America BP6-240SW,47.9,1.577,60,8.6,37.3,8.1,29.8,0.00688,-0.12645,1.5684,8.603,4.02e-010,0.365,1046.52,8.778,-0.441,Multi-c-Si
Centrosolar America E240,46.6,1.611,60,8.64,37,7.94,30.23,0.001987,-0.11396,1.5386,8.662,2.995e-010,0.275,107.76,17.75,-0.459,Multi-c-Si
Centrosolar America E240B,46.6,1.611,60,8.64,37,7.94,30.23,0.001987,-0.11396,1.5386,8.662,2.995e-010,0.275,107.76,17.75,-0.459,Multi-c-Si
Centrosolar America E240BWZ,46.6,1.569,60,8.64,37,7.94,30.23,0.001987,-0.11396,1.5386,8.662,2.995e-010,0.275,107.76,17.75,-0.459,Multi-c-Si
Centrosolar America E240SWZ,46.6,1.569,60,8.64,37,7.94,30.23,0.001987,-0.11396,1.5386,8.662,2.995e-010,0.275,107.76,17.75,-0.459,Multi-c-Si
