CEC Modules,T_noct,A_c,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,Alpha_sc,Beta_oc,A_ref,I_l_ref,I_o_ref,R_s,R_sh_ref,Adjust,Gamma_r,Source
BEoptCA Default Module,65,0.67,18,7.5,10.4,6.6,8.4,0.003,-0.04,0.473,7.545,1.943e-009,0.094,15.72,10.6,-0.5,Multi-c-Si
Example Module,65,0.67,18,7.5,10.4,6.6,8.4,0.003,-0.04,0.473,7.545,1.943e-009,0.094,15.72,10.6,-0.5,Multi-c-Si
1Soltech 1STH-215-P,47.4,1.567,60,7.84,36.3,7.35,29,0.007997,-0.13104,1.6413,7.843,1.936e-009,0.359,839.4,16.5,-0.495,Multi-c-Si
1Soltech 1STH-220-P,47.4,1.567,60,7.97,36.6,7.47,29.3,0.008129,-0.13213,1.6572,7.974,2.03e-009,0.346,751.03,16.8,-0.495,Multi-c-Si
1Soltech 1STH-225-P,47.4,1.567,60,8.09,36.9,7.58,29.6,0.008252,-0.13321,1.6732,8.094,2.126e-009,0.334,670.65,17.1,-0.495,Multi-c-Si
1Soltech 1STH-230-P,47.4,1.567,60,8.18,37.1,7.65,29.9,0.008344,-0.13393,1.6888,8.185,2.332e-009,0.311,462.56,17.9,-0.495,Multi-c-Si
1Soltech 1STH-235-WH,49.9,1.635,60,8.54,37,8.02,29.3,0.00743,-0.13653,1.6292,8.543,1.166e-009,0.383,1257.84,8.7,-0.482,Mono-c-Si
1Soltech 1STH-240-WH,49.9,1.635,60,8.58,37.1,8.07,29.7,0.007465,-0.1369,1.6425,8.582,1.325e-009,0.335,1463.82,9.8,-0.482,Mono-c-Si
1Soltech 1STH-245-WH,49.9,1.635,60,8.62,37.2,8.1,30.2,0.007499,-0.13727,1.6617,8.623,1.623e-009,0.272,724.06,11.6,-0.482,Mono-c-Si
1Soltech 1STH-FRL-4H-245-M60-BLK,48.3,1.668,60,8.81,38.3,8.06,30.2,0.006167,-0.13635,1.6351,8.844,5.7e-010,0.421,109.31,6.502,-0.453,Mono-c-Si
1Soltech 1STH-250-WH,49.9,1.635,60,8.66,37.3,8.15,30.7,0.007534,-0.13764,1.6783,8.662,1.919e-009,0.211,760.07,13.1,-0.482,Mono-c-Si
1Soltech 1STH-FRL-4H-250-M60-BLK,48.3,1.668,60,8.85,38.4,8.11,30.7,0.006195,-0.1367,1.6517,8.878,6.83e-010,0.358,111.51,8.03,-0.453,Mono-c-Si
1Soltech 1STH-FRL-4H-255-M60-BLK,48.3,1.668,60,8.89,38.46,8.16,31.24,0.006223,-0.13692,1.6688,8.912,8.39e-010,0.285,113.34,9.818,-0.453,Mono-c-Si
1Soltech 1STH-FRL-4H-260-M60-BLK,48.3,1.668,60,8.93,38.6,8.21,31.6,0.006251,-0.13742,1.6811,8.949,9.2e-010,0.249,117.56,10.6,-0.453,Mono-c-Si
1Soltech 1STH-335-WH,47.3,2.142,80,9,49.9,8.07,41.5,0.0081,-0.17964,2.3888,9.018,7.15e-009,0.175,86.73,29,-0.51,Mono-c-Si
1Soltech 1STH-340-WH,47.3,2.142,80,9.12,51.1,8.09,42,0.008208,-0.18396,2.4462,9.15,7.161e-009,0.245,73.4,28.9,-0.51,Mono-c-Si
1Soltech 1STH-345-WH,47.3,2.142,80,9.26,51.3,8.11,42.5,0.008334,-0.18468,2.4912,9.288,9.623e-009,0.186,60.56,32,-0.51,Mono-c-Si
1Soltech 1STH-350-WH,47.3,2.142,80,9.4,51.5,8.13,43,0.00846,-0.1854,2.5366,9.423,1.283e-008,0.126,51.76,35.1,-0.51,Mono-c-Si
A10Green Technology A10J-S72-175,49.9,1.3,72,5.17,43.99,4.78,36.63,0.002146,-0.15907,1.9822,5.176,1.156e-009,0.316,287.25,16.1,-0.507,Mono-c-Si
A10Green Technology A10J-S72-180,49.9,1.3,72,5.31,44.06,4.9,36.72,0.002204,-0.15932,1.9893,5.316,1.237e-009,0.3,259.26,16.5,-0.507,Mono-c-Si
A10Green Technology A10J-S72-185,49.9,1.3,72,5.43,44.14,5.03,36.72,0.002253,-0.15961,1.986,5.436,1.177e-009,0.311,298.8,15.8,-0.507,Mono-c-Si
A10Green Technology A10J-M60-220,50.2,1.624,60,7.95,36.06,7.3,30.12,0.004357,-0.13068,1.6742,7.959,3.392e-009,0.14,123.29,22,-0.52,Multi-c-Si
A10Green Technology A10J-M60-225,50.2,1.624,60,8.04,36.24,7.44,30.24,0.004406,-0.13133,1.6727,8.047,3.05e-009,0.147,164.61,20.8,-0.52,Multi-c-Si
A10Green Technology A10J-M60-230,46.4,1.624,60,8.1,36.42,7.58,30.36,0.007857,-0.13075,1.681,8.104,3.116e-009,0.152,341.46,21.6,-0.493,Multi-c-Si
A10Green Technology A10J-M60-235,46.4,1.624,60,8.23,36.72,7.68,30.6,0.007983,-0.13182,1.6974,8.235,3.259e-009,0.151,268.92,21.9,-0.493,Multi-c-Si
A10Green Technology A10J-M60-240,46.4,1.624,60,8.32,36.84,7.83,30.72,0.00807,-0.13226,1.6945,8.322,2.991e-009,0.15,707.49,20.9,-0.493,Multi-c-Si
A2Peak Power POWER ON P220-6x10,47.9,1.633,60,7.98,36.72,7.26,30.3,0.00399,-0.12852,1.5978,8,7.938e-010,0.229,90.62,12.3,-0.46,Multi-c-Si
Aavid Solar ASMS-165P,45,1.301,72,5.25,43.5,4.71,35,0.001575,-0.17096,1.9651,5.274,1.202e-009,0.596,129.56,7.2,-0.519,Multi-c-Si
Aavid Solar ASMS-180M,46,1.301,72,5.5,45,5,36,0.002144,-0.16421,1.9841,5.521,7.432e-010,0.652,171.03,10.5,-0.501,Mono-c-Si
Aavid Solar ASMS-185M,46,1.301,72,5.55,45,5.13,36,0.002163,-0.16421,1.9634,5.562,6.023e-010,0.65,302.35,8.5,-0.501,Mono-c-Si
Aavid Solar ASMS-220P,45.1,1.64,60,8.08,36.8,7.35,30,0.003108,-0.1238,1.6159,8.104,9.915e-010,0.279,92.37,19,-0.49,Multi-c-Si
Aavid Solar ASMS-225M,45.4,1.64,60,8.17,37,7.5,30,0.003143,-0.12447,1.6101,8.191,8.25e-010,0.305,120.32,17.1,-0.49,Mono-c-Si
Aavid Solar ASMS-230P,46.3,1.637,60,8.34,37.2,7.74,29.7,0.008307,-0.13779,1.6182,8.355,8.481e-010,0.367,208.32,5.6,-0.442,Multi-c-Si
Aavid Solar ASMS-235M,45.4,1.64,60,8.24,37.3,7.58,31,0.00317,-0.12548,1.6455,8.253,1.136e-009,0.187,122.61,20.1,-0.49,Mono-c-Si
Aavid Solar ASMS-270P,45.4,1.94,72,8.42,44.5,7.69,35.1,0.007098,-0.16158,1.8964,8.454,5.215e-010,0.511,125.24,3.7,-0.434,Multi-c-Si
Aavid Thermalloy ASMP-175M,45.8,1.28,72,5.25,44.2,4.89,35.8,0.002289,-0.17061,2.0122,5.255,1.492e-009,0.536,529.61,10.8,-0.536,Mono-c-Si
Aavid Thermalloy ASMP-180M,45.8,1.28,72,5.36,44.2,4.97,36.2,0.002337,-0.17061,2.0318,5.366,1.872e-009,0.427,363.01,12.7,-0.536,Mono-c-Si
AblyTek 5MN6C175-A0,49.9,1.3,72,5.17,43.99,4.78,36.63,0.002146,-0.15907,1.9822,5.176,1.156e-009,0.316,287.25,16.1,-0.507,Mono-c-Si
AblyTek 5MN6C180-A0,49.9,1.3,72,5.31,44.06,4.9,36.72,0.002204,-0.15932,1.9893,5.316,1.237e-009,0.3,259.26,16.5,-0.507,Mono-c-Si
AblyTek 5MN6C185-A0,49.9,1.3,72,5.43,44.14,5.03,36.72,0.002253,-0.15961,1.986,5.436,1.177e-009,0.311,298.8,15.8,-0.507,Mono-c-Si
AblyTek 6PN6A220-A0,50.2,1.624,60,7.95,36.06,7.3,30.12,0.00436,-0.13065,1.6739,7.959,3.381e-009,0.14,123.26,22,-0.52,Multi-c-Si
AblyTek 6PN6A225-A0,46.4,1.624,60,8.23,36.72,7.68,30.6,0.007983,-0.13182,1.6974,8.235,3.259e-009,0.151,268.92,21.9,-0.493,Multi-c-Si
AblyTek 6PN6A230-A0,46.4,1.624,60,8.1,36.42,7.58,30.36,0.007857,-0.13075,1.681,8.104,3.116e-009,0.152,341.46,21.6,-0.493,Multi-c-Si
AblyTek 6PN6A235-A0,47.3,1.624,60,8.23,36.72,7.68,30.6,-0.001446,-0.11739,1.5113,8.239,2.259e-010,0.202,192.64,11.6,-0.484,Multi-c-Si
AblyTek 6PN6A240-A0,46.4,1.624,60,8.32,36.84,7.83,30.72,0.00807,-0.13226,1.6945,8.322,2.991e-009,0.15,707.49,20.9,-0.493,Multi-c-Si
Abound Solar AB1-55-A,41.4,0.72,60,2.05,46.3,1.65,33.8,0.00108,-0.23488,2.2989,2.119,3.071e-009,3.848,114.44,-3.4,-0.569,CdTe
Abound Solar AB1-57-A,42.2,0.72,60,2.18,45.5,1.74,34,0.001131,-0.17891,2.028,2.254,3.22e-010,3.295,96.85,3.3,-0.446,CdTe
Abound Solar AB1-57-B,42.2,0.72,60,2.18,45.5,1.74,34,0.001131,-0.17891,2.028,2.254,3.22e-010,3.295,96.85,3.3,-0.446,CdTe
Abound Solar AB1-60-A,42.2,0.72,60,2.18,46.1,1.76,34.9,0.001131,-0.18127,2.0557,2.242,3.295e-010,3.016,106.06,3.5,-0.446,CdTe
Abound Solar AB1-60-B,42.2,0.72,60,2.18,46.1,1.76,34.9,0.001131,-0.18127,2.0557,2.242,3.295e-010,3.016,106.06,3.5,-0.446,CdTe
Abound Solar AB1-62-A,42.2,0.72,60,2.19,46.4,1.8,35.5,0.001137,-0.18244,2.0541,2.24,2.87e-010,2.769,120.39,2.3,-0.446,CdTe
Abound Solar AB1-62-B,42.2,0.72,60,2.19,46.4,1.8,35.5,0.001137,-0.18244,2.0541,2.24,2.87e-010,2.769,120.39,2.3,-0.446,CdTe
Abound Solar AB1-65-A,42.2,0.72,60,2.21,46.7,1.84,35.9,0.001147,-0.18362,2.0749,2.254,3.195e-010,2.627,132.95,3.1,-0.446,CdTe
Abound Solar AB1-65-B,42.2,0.72,60,2.21,46.7,1.84,35.9,0.001147,-0.18362,2.0749,2.254,3.195e-010,2.627,132.95,3.1,-0.446,CdTe
Abound Solar AB1-67A,42.2,0.72,60,2.24,46.6,1.9,36.1,0.001163,-0.18323,2.0314,2.276,2.148e-010,2.435,152.92,-0.3,-0.446,CdTe
Abound Solar AB1-67B,42.2,0.72,60,2.24,46.6,1.9,36.1,0.001163,-0.18323,2.0314,2.276,2.148e-010,2.435,152.92,-0.3,-0.446,CdTe
Abound Solar AB1-70A,51.8,0.72,60,2.26,46.9,1.93,36.3,0.001198,-0.15008,1.7144,2.302,2.619e-012,2.796,151,-14.1,-0.3,CdTe
Abound Solar AB1-70B,51.8,0.72,60,2.26,46.9,1.93,36.3,0.001198,-0.15008,1.7144,2.302,2.619e-012,2.796,151,-14.1,-0.3,CdTe
Abound Solar AB1-72A,42.4,0.72,60,2.33,46.9,1.99,36.4,0.001249,-0.11655,1.3557,2.53,1.9e-015,3.025,90.95,-40.79,-0.119,CdTe
Abound Solar AB1-72B,42.4,0.72,60,2.33,46.9,1.99,36.4,0.001249,-0.11655,1.3557,2.53,1.9e-015,3.025,90.95,-40.79,-0.119,CdTe
Abound Solar AB1-75A,42.4,0.72,60,2.35,47.4,2,37.2,0.00126,-0.11779,1.3536,2.401,1.26e-015,2.871,132,-43,-0.119,CdTe
Abound Solar AB1-75B,42.4,0.72,60,2.35,47.4,2,37.2,0.00126,-0.11779,1.3536,2.401,1.26e-015,2.871,132,-43,-0.119,CdTe
AccuSolar Power ASP610-B230,46.9,1.61,60,8.69,37.19,7.75,29.68,0.003114,-0.14136,1.7159,8.737,3.145e-009,0.335,61.57,15,-0.537,Mono-c-Si
Advance Solar Hydro Wind Power API-150,45.8,1.279,72,5.05,41.8,4.35,34.5,0.003535,-0.14881,2.0161,5.071,4.47e-009,0.314,74.12,32.17,-0.509,Mono-c-Si
Advance Solar Hydro Wind Power API-160,45.8,1.279,72,5.15,42.8,4.6,34.9,0.003605,-0.15237,1.9945,5.169,2.31e-009,0.457,120.83,24.81,-0.509,Mono-c-Si
Advance Solar Hydro Wind Power API-165,45.8,1.279,72,5.2,43.2,4.65,35.6,0.00364,-0.15379,2.0252,5.215,2.65e-009,0.361,122.53,26.14,-0.509,Mono-c-Si
Advance Solar Hydro Wind Power API-170,45.8,1.279,72,5.25,43.6,4.75,35.8,0.003675,-0.15522,2.023,5.264,2.17e-009,0.401,155.09,23.97,-0.509,Mono-c-Si
Advance Solar Hydro Wind Power API-175,45.8,1.279,72,5.3,43.9,4.85,36.2,0.00371,-0.15628,2.0269,5.309,2e-009,0.369,206.95,22.99,-0.509,Mono-c-Si
Advance Solar Hydro Wind Power API-180,45.8,1.279,72,5.35,44.2,4.9,36.8,0.003745,-0.15735,2.0518,5.357,2.27e-009,0.282,208.39,24.17,-0.509,Mono-c-Si
Advance Solar Hydro Wind Power API156P-200,46,1.621,60,7.75,36,6.97,28.7,0.005425,-0.12816,1.5398,7.792,5.12e-010,0.402,73.43,6.742,-0.436,Multi-c-Si
Advance Solar Hydro Wind Power API156P-210,46,1.621,60,7.86,36.4,7.19,29.2,0.005502,-0.12958,1.5463,7.887,4.52e-010,0.372,109.25,5.491,-0.436,Multi-c-Si
Advance Solar Hydro Wind Power API156P-220,46,1.621,60,8,36.8,7.39,29.8,0.0056,-0.13101,1.5629,8.018,4.62e-010,0.326,148.84,5.501,-0.436,Multi-c-Si
Advance Solar Hydro Wind Power API156P-230,46,1.621,60,8.18,37,7.66,30,0.005726,-0.13172,1.5598,8.188,4.03e-010,0.316,325.78,4.107,-0.436,Multi-c-Si
Advanced Renewable Energy AREi-210W-M6-G,44.5,1.616,60,7.74,36.3,7.2,29.22,0.004284,-0.12828,1.6134,7.75,1.289e-009,0.338,257.96,15.8,-0.508,Multi-c-Si
Advanced Renewable Energy AREi-215W-M6-G,44.5,1.616,60,7.79,36.48,7.28,29.52,0.004312,-0.12892,1.6219,7.797,1.313e-009,0.313,362.26,15.9,-0.508,Multi-c-Si
Advanced Renewable Energy AREi-220W-M6-G,44.5,1.616,60,7.85,36.72,7.38,29.82,0.004345,-0.12977,1.63,7.853,1.284e-009,0.296,808.92,15.6,-0.508,Multi-c-Si
Advanced Renewable Energy AREi-225W-M6-G,44.5,1.616,60,7.97,36.9,7.43,30.3,0.004411,-0.1304,1.6579,7.977,1.69e-009,0.238,263.4,18.1,-0.508,Multi-c-Si
Advanced Renewable Energy AREi-230W-M6-G,44.5,1.616,60,8,37.14,7.5,30.72,0.004428,-0.13125,1.6699,8.004,1.735e-009,0.205,408.66,18.3,-0.508,Multi-c-Si
aleo solar S16.165,47.9,1.378,50,7.69,29.6,7.11,23.2,0.00315,-0.10061,1.2162,7.712,2.019e-010,0.406,140.91,3.9,-0.454,Multi-c-Si
aleo solar S16.170,47.9,1.378,50,7.82,29.8,7.26,23.4,0.003206,-0.10132,1.2232,7.838,2.016e-010,0.394,172.1,3.7,-0.454,Multi-c-Si
aleo solar S16.175,47.9,1.378,50,7.95,30,7.41,23.6,0.00326,-0.102,1.2301,7.964,2.004e-010,0.383,219.6,3.5,-0.454,Multi-c-Si
aleo solar S16.180,47.9,1.378,50,8.07,30.2,7.55,23.8,0.003309,-0.10268,1.2369,8.08,1.988e-010,0.373,298.62,3.3,-0.454,Multi-c-Si
aleo solar S16.185,47.9,1.378,50,8.2,30.4,7.7,24,0.003362,-0.10336,1.2438,8.206,1.975e-010,0.363,466.94,3.1,-0.454,Multi-c-Si
aleo solar A18.210,47.8,1.628,60,7.85,35.7,7.4,28.4,0.003219,-0.12138,1.464,7.853,2.011e-010,0.411,1172.74,3.6,-0.454,Multi-c-Si
Aleo Solar A18U210 ulr,47,1.628,60,7.85,35.7,7.4,28.4,0.003376,-0.11388,1.4603,7.853,1.89e-010,0.412,1125.42,10.04,-0.453,Multi-c-Si
aleo solar S18.210,47.9,1.643,60,8.03,35.9,7.41,28.4,0.003292,-0.12206,1.4848,8.054,2.467e-010,0.429,145.07,5.2,-0.454,Multi-c-Si
Aleo Solar S18U210 ulr,47,1.628,60,7.85,35.7,7.4,28.4,0.003376,-0.11388,1.4603,7.853,1.89e-010,0.412,1125.42,10.04,-0.453,Multi-c-Si
aleo solar A18.215,47.8,1.628,60,7.95,36,7.5,28.7,0.00326,-0.1224,1.4778,7.952,2.086e-010,0.399,1434.96,3.8,-0.454,Multi-c-Si
Aleo Solar A18U215 ulr,47,1.628,60,7.95,36,7.5,28.7,0.003419,-0.11484,1.4738,7.952,1.95e-010,0.4,1360.32,10.22,-0.453,Multi-c-Si
aleo solar S18.215,47.9,1.643,60,8.13,36.1,7.53,28.6,0.003333,-0.12274,1.4915,8.15,2.443e-010,0.42,169.42,5,-0.454,Multi-c-Si
Aleo Solar S18U215 ulr,47,1.628,60,7.95,36,7.5,28.7,0.003419,-0.11484,1.4738,7.952,1.95e-010,0.4,1360.32,10.22,-0.453,Multi-c-Si
aleo solar A18.220,47.8,1.628,60,8.05,36.2,7.6,29,0.003301,-0.12308,1.4889,8.052,2.216e-010,0.375,1579.29,4.2,-0.454,Multi-c-Si
Aleo Solar A18U220 ulr,47,1.628,60,8.05,36.2,7.6,29,0.003462,-0.11548,1.4854,8.052,2.09e-010,0.376,1501.94,10.73,-0.453,Multi-c-Si
aleo solar S18.220,47.9,1.643,60,8.24,36.3,7.65,28.7,0.003378,-0.12342,1.4959,8.258,2.336e-010,0.425,192.18,4.5,-0.454,Multi-c-Si
Aleo Solar S18U220 ulr,47,1.628,60,8.05,36.2,7.6,29,0.003462,-0.11548,1.4854,8.052,2.09e-010,0.376,1501.94,10.73,-0.453,Multi-c-Si
aleo solar A18.225,47.8,1.628,60,8.13,36.5,7.68,29.3,0.003333,-0.1241,1.5027,8.132,2.292e-010,0.365,1910.9,4.4,-0.454,Multi-c-Si
Aleo Solar A18U225 ulr,47,1.628,60,8.13,36.5,7.68,29.3,0.003496,-0.11644,1.499,8.132,2.16e-010,0.366,1793.14,10.91,-0.453,Multi-c-Si
aleo solar S18.225,47.9,1.643,60,8.34,36.4,7.78,28.9,0.003419,-0.12376,1.4999,8.353,2.368e-010,0.403,253.7,4.5,-0.454,Multi-c-Si
Aleo Solar S18U225 ulr,47,1.628,60,8.13,36.5,7.68,29.3,0.003496,-0.11644,1.499,8.132,2.16e-010,0.366,1793.14,10.91,-0.453,Multi-c-Si
aleo solar A18.230,47.8,1.628,60,8.26,36.7,7.8,29.5,0.003387,-0.12478,1.5124,8.262,2.384e-010,0.355,1491.24,4.6,-0.454,Multi-c-Si
Aleo Solar A18U230 ulr,47,1.628,60,8.26,36.7,7.8,29.5,0.003552,-0.11707,1.5086,8.262,2.24e-010,0.356,1416.98,11.12,-0.453,Multi-c-Si
aleo solar A79.230,48,1.628,60,8.49,35.9,7.94,29,0.007811,-0.13247,1.6152,8.496,1.87e-009,0.285,386.94,13,-0.486,Mono-c-Si
Aleo Solar A79U230 ulr,48,1.628,60,8.49,35.9,7.94,29,0.007811,-0.13247,1.6183,8.496,1.95e-009,0.284,391.28,13.55,-0.489,Mono-c-Si
aleo solar S18.230,47.9,1.643,60,8.44,36.6,7.9,29.1,0.00346,-0.12444,1.5065,8.45,2.343e-010,0.394,333.77,4.3,-0.454,Multi-c-Si
Aleo Solar S18U230 ulr,47,1.628,60,8.26,36.7,7.8,29.5,0.003552,-0.11707,1.5086,8.262,2.24e-010,0.356,1416.98,11.12,-0.453,Multi-c-Si
aleo solar S79.230,48,1.628,60,8.49,35.9,7.94,29,0.007811,-0.13247,1.6152,8.496,1.87e-009,0.285,386.94,13,-0.486,Mono-c-Si
Aleo Solar S79U230 ulr,48,1.628,60,8.49,35.9,7.94,29,0.007811,-0.13247,1.6183,8.496,1.95e-009,0.284,391.28,13.55,-0.489,Mono-c-Si
aleo solar A18.235,49,1.628,60,8.54,37.4,7.95,29.5,0.004014,-0.12155,1.5499,8.556,2.783e-010,0.43,235.58,10.5,-0.459,Multi-c-Si
Aleo Solar A18U235 ulr,47,1.628,60,8.54,37.4,7.95,29.7,0.003672,-0.11931,1.539,8.556,2.34e-010,0.404,218.07,11.25,-0.453,Multi-c-Si
aleo solar A79.235,48,1.628,60,8.53,36.4,8,29.4,0.007848,-0.13432,1.6352,8.534,1.821e-009,0.288,585.14,12.7,-0.486,Mono-c-Si
Aleo Solar A79U235 ulr,48,1.628,60,8.53,36.4,8,29.4,0.007848,-0.13432,1.6378,8.534,1.89e-009,0.288,593.82,13.21,-0.489,Mono-c-Si
aleo solar S18.235,49,1.628,60,8.54,37.4,7.95,29.5,0.004014,-0.12155,1.5499,8.556,2.783e-010,0.43,235.58,10.5,-0.459,Multi-c-Si
Aleo Solar S18U235 ulr,47,1.628,60,8.54,37.4,7.95,29.7,0.003672,-0.11931,1.539,8.556,2.34e-010,0.404,218.07,11.25,-0.453,Multi-c-Si
Aleo Solar S19U235 ulr,50.3,1.628,60,8.59,36.9,8.08,29.1,0.002577,-0.11919,1.514,8.594,2.22e-010,0.424,814.92,9.469,-0.471,Mono-c-Si
aleo solar S79.235,48,1.628,60,8.53,36.4,8,29.4,0.007848,-0.13432,1.6352,8.534,1.821e-009,0.288,585.14,12.7,-0.486,Mono-c-Si
Aleo Solar S79U235 ulr,48,1.628,60,8.53,36.4,8,29.4,0.007848,-0.13432,1.6378,8.534,1.89e-009,0.288,593.82,13.21,-0.489,Mono-c-Si
aleo solar A18.240,49,1.628,60,8.5,37.6,8,30.1,0.003995,-0.1222,1.5621,8.504,2.974e-010,0.368,712.77,11.1,-0.459,Multi-c-Si
Aleo Solar A18U240 ulr,47,1.628,60,8.5,37.6,8,30.1,0.003655,-0.11994,1.5449,8.505,2.27e-010,0.373,640.96,10.99,-0.453,Multi-c-Si
aleo solar A79.240,48,1.628,60,8.47,36.9,7.8,30.8,0.007792,-0.13616,1.7106,8.479,3.51e-009,0.139,131.18,19.1,-0.486,Mono-c-Si
Aleo Solar A79U240 ulr,48,1.628,60,8.47,36.9,7.8,30.8,0.007792,-0.13616,1.7136,8.479,3.65e-009,0.138,131.59,19.66,-0.489,Mono-c-Si
aleo solar S18.240,49,1.628,60,8.5,37.6,8,30.1,0.003995,-0.1222,1.5621,8.504,2.974e-010,0.368,712.77,11.1,-0.459,Multi-c-Si
Aleo Solar S18U240 ulr,47,1.628,60,8.5,37.6,8,30.1,0.003655,-0.11994,1.5449,8.505,2.27e-010,0.373,640.96,10.99,-0.453,Multi-c-Si
Aleo Solar S19U240 ulr,50.3,1.628,60,8.64,37.2,8.09,29.7,0.002592,-0.12016,1.541,8.65,2.8e-010,0.372,336.96,11.5,-0.471,Mono-c-Si
aleo solar S79.240,48,1.628,60,8.47,36.9,7.8,30.8,0.007792,-0.13616,1.7106,8.479,3.51e-009,0.139,131.18,19.1,-0.486,Mono-c-Si
Aleo Solar S79U240 ulr,48,1.628,60,8.47,36.9,7.8,30.8,0.007792,-0.13616,1.7136,8.479,3.65e-009,0.138,131.59,19.66,-0.489,Mono-c-Si
aleo solar A18.245,49,1.628,60,8.59,38,8.14,30.2,0.004037,-0.1235,1.5682,8.614,2.58e-010,0.399,100000,9.7,-0.459,Multi-c-Si
Aleo Solar A18U245 ulr,47,1.628,60,8.59,38,8.14,30.2,0.003694,-0.12122,1.557,8.684,2.16e-010,0.401,434.83,10.37,-0.453,Multi-c-Si
aleo solar A79.245,48,1.628,60,8.6,37.2,8.1,30.2,0.007912,-0.13727,1.6717,8.601,1.858e-009,0.27,1709.39,12.8,-0.486,Mono-c-Si
Aleo Solar A79U245 ulr,48,1.628,60,8.6,37.2,8.1,30.2,0.007912,-0.13727,1.6747,8.601,1.93e-009,0.269,1792.74,13.34,-0.489,Mono-c-Si
aleo solar S18.245,49,1.628,60,8.59,38,8.14,30.2,0.004037,-0.1235,1.5682,8.614,2.58e-010,0.399,100000,9.7,-0.459,Multi-c-Si
Aleo Solar S18U245 ulr,47,1.628,60,8.59,38,8.14,30.2,0.003694,-0.12122,1.557,8.684,2.16e-010,0.401,434.83,10.37,-0.453,Multi-c-Si
Aleo Solar S19U245 ulr,50.3,1.628,60,8.88,37.7,8.24,30,0.002664,-0.12177,1.5668,8.899,3.08e-010,0.381,176.82,12.14,-0.471,Mono-c-Si
aleo solar S79.245,48,1.628,60,8.6,37.2,8.1,30.2,0.007912,-0.13727,1.6717,8.601,1.858e-009,0.27,1709.39,12.8,-0.486,Mono-c-Si
Aleo Solar S79U245 ulr,48,1.628,60,8.6,37.2,8.1,30.2,0.007912,-0.13727,1.6747,8.601,1.93e-009,0.269,1792.74,13.34,-0.489,Mono-c-Si
aleo solar A79.250,48,1.628,60,8.64,37.6,8.15,30.7,0.007949,-0.13874,1.6945,8.641,1.992e-009,0.246,3325.03,13.4,-0.486,Mono-c-Si
Aleo Solar A79U250 ulr,48,1.628,60,8.64,37.6,8.15,30.7,0.007949,-0.13874,1.697,8.641,2.06e-009,0.246,3583.86,13.88,-0.489,Mono-c-Si
Aleo Solar S19U250 ulr,50.3,1.628,60,8.67,38.2,8.12,30.8,0.002601,-0.12339,1.5912,8.679,3.21e-010,0.336,323.7,12.69,-0.471,Mono-c-Si
aleo solar S79.250,48,1.628,60,8.64,37.6,8.15,30.7,0.007949,-0.13874,1.6945,8.641,1.992e-009,0.246,3325.03,13.4,-0.486,Mono-c-Si
Aleo Solar S79U250 ulr,48,1.628,60,8.64,37.6,8.15,30.7,0.007949,-0.13874,1.697,8.641,2.06e-009,0.246,3583.86,13.88,-0.489,Mono-c-Si
Aleo Solar S19U255 ulr,50.3,1.628,60,8.69,38.8,8.14,31.3,0.002607,-0.12532,1.6166,8.699,3.24e-010,0.339,331.45,12.74,-0.471,Mono-c-Si
Alps Technology ATI-S572-175,49.9,1.287,72,5.17,43.99,4.78,36.63,0.002146,-0.15907,1.9822,5.176,1.156e-009,0.316,287.25,16.1,-0.507,Mono-c-Si
Alps Technology ATI-S572-180,49.9,1.287,72,5.31,44.06,4.9,36.72,0.002204,-0.15932,1.9893,5.316,1.237e-009,0.3,259.26,16.5,-0.507,Mono-c-Si
Alps Technology ATI-S572-185,49.9,1.287,72,5.43,44.14,5.03,36.79,0.002253,-0.15961,1.9879,5.435,1.202e-009,0.295,297,16,-0.507,Mono-c-Si
Alps Technology ATI-M660-220,50.2,1.61,60,7.95,36.06,7.3,30.12,0.004357,-0.13068,1.6742,7.959,3.392e-009,0.14,123.29,22,-0.52,Multi-c-Si
Alps Technology ATI-M660-225,50.2,1.61,60,8.04,36.24,7.44,30.24,0.004406,-0.13133,1.6727,8.047,3.05e-009,0.147,164.61,20.8,-0.52,Multi-c-Si
Alps Technology ATI-M660-230,50.2,1.61,60,8.1,36.42,7.58,30.36,0.004439,-0.13199,1.6678,8.104,2.623e-009,0.155,329.67,19.2,-0.52,Multi-c-Si
Alps Technology ATI-M660-235,50.2,1.61,60,8.23,36.72,7.68,30.6,0.00451,-0.13307,1.6841,8.235,2.745e-009,0.155,261.54,19.5,-0.52,Multi-c-Si
Alps Technology ATI-M660-240,50.2,1.61,60,8.32,36.84,7.83,30.72,0.004559,-0.13351,1.6811,8.322,2.513e-009,0.154,657.34,18.5,-0.52,Multi-c-Si
American Choice Solar ACS-215-P,47.4,1.567,60,7.84,36.3,7.35,29,0.007997,-0.13104,1.6402,7.843,1.91e-009,0.359,832.75,16.54,-0.495,Multi-c-Si
American Choice Solar ACS-220-P,47.4,1.567,60,7.97,36.6,7.47,29.3,0.008129,-0.13213,1.6561,7.974,2e-009,0.347,745.36,16.83,-0.495,Multi-c-Si
American Choice Solar ACS-225-P,47.4,1.567,60,8.09,36.9,7.58,29.6,0.008252,-0.13321,1.672,8.094,2.09e-009,0.335,666.07,17.13,-0.495,Multi-c-Si
